Rank,Name,Team,Position,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Brett Maher,DAL,K,11,MIN,4,4,100,60,4,4,22,22
2,Tyler Bass,BUF,K,11,CLE,6,6,100,56,1,1,21,21
3,Chase McLaughlin,IND,K,15,MIN,5,5,100,52,3,3,20,20
3,Jake Elliott,PHI,K,18,NYG,5,5,100,54,1,1,20,20
5,Matt Gay,LAR,K,16,DEN,3,3,100,0,6,6,19,19
6,Younghoe Koo,ATL,K,1,NO,4,5,80,54,2,2,18,18
6,Nick Folk,NE,K,8,NYJ,5,5,100,52,1,1,18,18
6,Greg Zuerlein,NYJ,K,13,MIN,5,5,100,60,1,1,18,18
6,Joey Slye,WAS,K,10,PHI,4,4,100,58,2,2,18,18
10,Graham Gano,NYG,K,2,CAR,4,4,100,56,1,1,17,17
10,Cairo Santos,CHI,K,7,NE,4,4,100,50,3,3,17,17
10,Nick Folk,NE,K,5,DET,5,5,100,44,2,2,17,17
13,Greg Joseph,MIN,K,4,NO,5,5,100,47,1,2,16,16
13,Chase McLaughlin,IND,K,5,DEN,4,4,100,52,0,0,16,16
13,Brett Maher,DAL,K,16,PHI,4,4,100,0,4,4,16,16
13,Cade York,CLE,K,1,CAR,4,4,100,58,2,2,16,16
13,Greg Zuerlein,NYJ,K,3,CIN,4,4,100,52,0,0,16,16
13,Michael Badgley,DET,K,13,JAX,4,4,100,47,4,4,16,16
19,Brett Maher,DAL,K,4,WAS,4,4,100,53,1,2,15,15
19,Jason Myers,SEA,K,7,LAC,3,3,100,50,4,4,15,15
19,Justin Tucker,BAL,K,5,CIN,4,4,100,58,1,1,15,15
19,Daniel Carlson,LV,K,5,KC,3,3,100,53,2,2,15,15
19,Ka'imi Fairbairn,HOU,K,14,DAL,3,3,100,54,2,2,15,15
19,Evan McPherson,CIN,K,11,PIT,3,3,100,54,4,4,15,15
19,Robbie Gould,SF,K,13,MIA,4,4,100,48,3,3,15,15
19,Justin Tucker,BAL,K,12,JAX,4,5,80,55,1,1,15,15
19,Matt Prater,ARI,K,17,ATL,4,5,80,57,1,1,15,15
28,Jason Myers,SEA,K,4,DET,2,3,66.7,56,6,6,14,14
28,Daniel Carlson,LV,K,4,DEN,4,4,100,39,2,3,14,14
28,Cairo Santos,CHI,K,5,MIN,3,3,100,51,1,1,14,14
28,Mason Crosby,GB,K,16,MIA,4,4,100,0,2,2,14,14
28,Matt Prater,ARI,K,16,TB,3,3,100,0,1,1,14,14
28,Nick Folk,NE,K,9,IND,4,4,100,49,2,2,14,14
28,Graham Gano,NYG,K,3,DAL,3,4,75,51,1,1,14,14
28,Daniel Carlson,LV,K,11,DEN,3,4,75,57,1,1,14,14
28,Harrison Butker,KC,K,11,LAC,3,3,100,52,3,3,14,14
28,Wil Lutz,NO,K,6,CIN,4,4,100,37,2,2,14,14
28,Ryan Succop,TB,K,6,PIT,4,4,100,54,0,0,14,14
28,Younghoe Koo,ATL,K,13,PIT,3,3,100,51,1,1,14,14
28,Nick Folk,NE,K,12,MIN,4,4,100,46,2,2,14,14
28,Harrison Butker,KC,K,12,LAR,4,4,100,32,2,2,14,14
28,Younghoe Koo,ATL,K,18,TB,3,3,100,51,3,3,14,14
43,Daniel Carlson,LV,K,2,ARI,3,3,100,55,2,2,13,13
43,Justin Tucker,BAL,K,7,CLE,3,3,100,55,2,2,13,13
43,Randy Bullock,TEN,K,7,IND,4,4,100,48,1,1,13,13
