returnTD,defTD,safeties,teamID,fumbleRecoveries,ptsAgainst,teamAbv,interceptions,sacks,blockKick,fantasyPointsDefault,week
0,0.2,0,22,0.5,23.8,NE,0.7,2.2,0.1,7.9,1
0,0.2,0,23,0.5,19.3,NO,0.8,2.3,0,10.1,1
0,0.1,0,24,0.5,23.8,NYG,0.7,2.2,0,7.2,1
0,0.2,0.1,25,0.5,23.5,NYJ,0.7,2.1,0.0,7.9,1
0,0.1,0,26,0.5,21.5,PIT,0.8,2.6,0,7.8,1
0,0.2,0.1,27,0.6,20.3,PHI,0.8,2.6,0.1,10.9,1
0,0.2,0.1,28,0.5,19,SF,0.8,2.6,0.1,10.7,1
0,0.1,0,29,0.6,19.8,SEA,0.9,2.8,0,10.4,1
0,0.1,0,30,0.5,24.5,TB,0.7,2.2,0,7.2,1
0,0.1,0,31,0.5,22.3,TEN,0.8,2.4,0,7.6,1
0,0.1,0,32,0.7,15.5,WSH,1.0,3.3,0,11.3,1
0,0.1,0,10,0.6,20,DEN,0.9,2.6,0,10.2,1
0,0.0,0,11,0.5,28.3,DET,0.6,2.1,0,2.3,1
0.1,0.2,0,12,0.5,21,GB,0.8,2.3,0.1,8.8,1
0,0.1,0,13,0.5,27,HOU,0.6,1.9,0,6.7,1
0,0.1,0,14,0.5,24.5,IND,0.6,2.0,0,6.8,1
0,0.1,0,15,0.7,21,JAX,0.9,3,0,8.8,1
0.1,0.1,0,16,0.5,24.3,KC,0.8,2.3,0,8.1,1
0,0.1,0,17,0.5,24,LV,0.6,2,0,6.8,1
0,0.1,0,18,0.5,23.5,LAC,0.7,2.3,0,7.3,1
0,0.1,0,19,0.4,24.3,LAR,0.6,1.8,0,6.4,1
0,0.1,0,1,0.4,22.5,ARI,0.5,1.7,0,6.1,1
0,0.1,0,2,0.6,18.5,ATL,0.9,2.9,0,10.5,1
0,0.1,0,3,0.7,17,BAL,0.9,2.9,0.1,10.8,1
0,0.2,0,4,0.6,21,BUF,0.9,2.7,0.1,9.0,1
0,0.1,0,5,0.5,22,CAR,0.7,2.4,0,7.4,1
0,0.1,0,6,0.5,20,CHI,0.7,2.3,0,9.3,1
0,0.1,0,7,0.5,22.5,CIN,0.9,2.5,0.1,8.0,1
0,0.1,0,8,0.5,25,CLE,0.7,2.3,0,7.3,1
0,0.2,0.1,9,0.6,20.8,DAL,0.9,2.8,0.1,11.3,1
0,0.1,0.0,20,0.5,26.5,MIA,0.7,2.6,0.0,7.6,1
0,0.1,0,21,0.6,20,MIN,0.7,2.4,0,9.6,1
0,0.2,0.0,22,0.5,24,NE,0.8,2.2,0.1,8.1,2
