Unnamed: 0,season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
9,2021,REG,BAL,1,00-0034184,RB,Gus Edwards,Gus,Edwards,None,None,None,Knee,None,Limited Participation in Practice,2021-09-09 20:34:22
31,2021,REG,CHI,1,00-0036309,WR,Darnell Mooney,Darnell,Mooney,Back,None,Questionable,Back,None,Full Participation in Practice,2021-09-10 19:08:35
57,2021,REG,DAL,1,00-0033077,QB,Dak Prescott,Dak,Prescott,None,None,None,right Shoulder,None,Full Participation in Practice,2021-09-08 18:04:29
59,2021,REG,DEN,1,00-0035644,TE,Noah Fant,Noah,Fant,None,None,None,Knee,None,Full Participation in Practice,2021-09-10 19:30:52
62,2021,REG,DEN,1,00-0034348,WR,Courtland Sutton,Courtland,Sutton,None,None,None,Knee,None,Full Participation in Practice,2021-09-10 19:30:52
65,2021,REG,DET,1,00-0035229,TE,T.J. Hockenson,T.J.,Hockenson,None,None,None,Shoulder,None,Full Participation in Practice,2021-09-10 19:50:06
66,2021,REG,DET,1,00-0036275,RB,D'Andre Swift,D'Andre,Swift,None,None,None,Groin,None,Full Participation in Practice,2021-09-10 19:50:06
80,2021,REG,HOU,1,00-0033537,QB,Deshaun Watson,Deshaun,Watson,Not injury related - personal matter,None,Out,Not injury related - personal matter,None,Did Not Participate In Practice,2021-09-10 20:05:25
84,2021,REG,IND,1,00-0035639,WR,Parris Campbell,Parris,Campbell,None,None,None,Achilles,None,Full Participation in Practice,2021-09-10 19:48:10
96,2021,REG,KC,1,00-0036360,RB,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,None,None,None,Ankle,None,Full Participation in Practice,2021-09-10 19:42:23
97,2021,REG,KC,1,00-0035140,WR,Mecole Hardman,Mecole,Hardman,None,None,None,Oblique,None,Full Participation in Practice,2021-09-10 19:42:23
112,2021,REG,LAC,1,00-0033699,RB,Austin Ekeler,Austin,Ekeler,Hamstring,None,Questionable,Hamstring,None,Limited Participation in Practice,2021-09-10 19:58:45
116,2021,REG,LV,1,00-0035700,RB,Josh Jacobs,Josh,Jacobs,None,None,None,Toe,None,Limited Participation in Practice,2021-09-11 19:30:27
122,2021,REG,MIA,1,00-0031547,WR,DeVante Parker,DeVante,Parker,None,None,None,Shoulder,None,Full Participation in Practice,2021-09-10 19:36:35
127,2021,REG,MIN,1,00-0034270,TE,Tyler Conklin,Tyler,Conklin,None,None,None,Hamstring,None,Full Participation in Practice,2021-09-10 18:24:14
128,2021,REG,MIN,1,00-0034972,RB,Alexander Mattison,Alexander,Mattison,None,None,None,Ribs,None,Full Participation in Practice,2021-09-10 18:24:14
