season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2021,REG,ARI,1,00-0033258,TE,Darrell Daniels,Darrell,Daniels,n/a,n/a,n/a,Toe,n/a,Full Participation in Practice,2021-09-10 19:35:39
2021,REG,ARI,1,00-0034473,LB,Dennis Gardeck,Dennis,Gardeck,Knee,Hand,Out,Knee,Hand,Did Not Participate In Practice,2021-09-10 19:36:51
2021,REG,ARI,1,00-0035126,WR,Antoine Wesley,Antoine,Wesley,Illness,n/a,Out,Illness,n/a,Did Not Participate In Practice,2021-09-10 19:37:05
2021,REG,ATL,1,00-0031583,DT,Grady Jarrett,Grady,Jarrett,n/a,n/a,n/a,Not injury related - personal matter,n/a,Did Not Participate In Practice,2021-09-10 09:29:27
2021,REG,ATL,1,00-0030010,LB,Brandon Copeland,Brandon,Copeland,n/a,n/a,n/a,Hamstring,n/a,Full Participation in Practice,2021-09-10 18:05:56
2021,REG,BAL,1,00-0031598,TE,Nick Boyle,Nick,Boyle,n/a,n/a,n/a,Knee,n/a,Did Not Participate In Practice,2021-09-09 20:34:47
2021,REG,BAL,1,00-0026190,DE,Calais Campbell,Calais,Campbell,n/a,n/a,n/a,Not injury related - resting player,n/a,Did Not Participate In Practice,2021-09-11 20:27:49
2021,REG,BAL,1,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,n/a,n/a,n/a,Not injury related - resting player,n/a,Did Not Participate In Practice,2021-09-11 20:28:05
2021,REG,BAL,1,00-0030511,DT,Brandon Williams,Brandon,Williams,n/a,n/a,n/a,Not injury related - resting player,n/a,Did Not Participate In Practice,2021-09-10 19:55:40
2021,REG,BAL,1,00-0034184,RB,Gus Edwards,Gus,Edwards,n/a,n/a,n/a,Knee,n/a,Limited Participation in Practice,2021-09-09 20:34:22
2021,REG,BAL,1,00-0032165,CB,Marcus Peters,Marcus,Peters,n/a,n/a,n/a,Knee,n/a,Limited Participation in Practice,2021-09-09 20:33:30
