Rank,Name,Team,ByeWeek,Position,PositionRank,AverageDraftPositionPPR
1,Christian McCaffrey,SF,9,RB,RB1,1
2,CeeDee Lamb,DAL,7,WR,WR1,2
3,Tyreek Hill,MIA,6,WR,WR2,3
4,Ja'Marr Chase,CIN,12,WR,WR3,4
5,Justin Jefferson,MIN,6,WR,WR4,5
6,Breece Hall,NYJ,12,RB,RB2,6
7,Bijan Robinson,ATL,12,RB,RB3,7
8,Amon-Ra St Brown,DET,5,WR,WR5,8
9,Saquon Barkley,PHI,5,RB,RB4,9
10,Garrett Wilson,NYJ,12,WR,WR6,10
11,Puka Nacua,LAR,6,WR,WR7,11
12,Jahmyr Gibbs,DET,5,RB,RB5,12
13,AJ Brown,PHI,5,WR,WR8,13
14,Jonathan Taylor,IND,14,RB,RB6,14
15,Drake London,ATL,12,WR,WR9,15
16,Marvin Harrison,ARI,11,WR,WR10,16
17,Kyren Williams,LAR,6,RB,RB7,17
18,Josh Jacobs,GB,10,RB,RB8,18
19,Davante Adams,LV,10,WR,WR11,19
20,Travis Kelce,KC,6,TE,TE1,20
21,De'Von Achane,MIA,6,RB,RB9,21
22,Derrick Henry,BAL,14,RB,RB10,22
23,Chris Olave,NO,12,WR,WR12,23
24,Nico Collins,HOU,14,WR,WR13,24
25,Michael Pittman,IND,14,WR,WR14,25
26,Sam LaPorta,DET,5,TE,TE2,26
27,Deebo Samuel,SF,9,WR,WR15,27
28,Travis Etienne,JAX,12,RB,RB11,28
29,Stefon Diggs,HOU,14,WR,WR16,29
30,Brandon Aiyuk,SF,9,WR,WR17,30
31,Mike Evans,TB,11,WR,WR18,31
32,DJ Moore,CHI,7,WR,WR19,32
33,Josh Allen,BUF,12,QB,QB1,33
34,Dalton Kincaid,BUF,12,TE,TE3,34
35,Jaylen Waddle,MIA,6,WR,WR20,35
36,DeVonta Smith,PHI,5,WR,WR21,36
37,James Cook,BUF,12,RB,RB12,37
38,Jalen Hurts,PHI,5,QB,QB2,38
39,DK Metcalf,SEA,10,WR,WR22,39
40,Cooper Kupp,LAR,6,WR,WR23,40
41,Isiah Pacheco,KC,6,RB,RB13,41
42,George Pickens,PIT,9,WR,WR24,42
43,Rachaad White,TB,11,RB,RB14,43
44,Malik Nabers,NYG,11,WR,WR25,44
45,Patrick Mahomes,KC,6,QB,QB3,45
46,Lamar Jackson,BAL,14,QB,QB4,46
47,Trey McBride,ARI,11,TE,TE4,47
48,Joe Mixon,HOU,14,RB,RB15,48
49,Zay Flowers,BAL,14,WR,WR26,49
50,Kenneth Walker,SEA,10,RB,RB16,50
51,Keenan Allen,CHI,7,WR,WR27,51
52,Alvin Kamara,NO,12,RB,RB17,52
53,Zamir White,LV,10,RB,RB18,53
54,CJ Stroud,HOU,14,QB,QB5,54
55,Jordan Love,GB,10,QB,QB6,55
56,Tee Higgins,CIN,12,WR,WR28,56
57,Mark Andrews,BAL,14,TE,TE5,57
58,Marquise Brown,KC,6,WR,WR29,58
59,Amari Cooper,CLE,10,WR,WR30,59
60,Zack Moss,CIN,12,RB,RB19,60
61,Christian Kirk,JAX,12,WR,WR31,61
62,Tank Dell,HOU,14,WR,WR32,62
63,Anthony Richardson,IND,14,QB,QB7,63
64,Aaron Jones,MIN,6,RB,RB20,64
65,Rhamondre Stevenson,NE,14,RB,RB21,65
66,Terry McLaurin,WAS,14,WR,WR33,66
67,Kyle Pitts,ATL,12,TE,TE6,67
68,D'Andre Swift,CHI,7,RB,RB22,68
69,David Montgomery,DET,5,RB,RB23,69
70,George Kittle,SF,9,TE,TE7,70
71,Rashee Rice,KC,6,WR,WR34,71
72,Calvin Ridley,TEN,5,WR,WR35,72
73,Jayden Reed,GB,10,WR,WR36,73
74,Diontae Johnson,CAR,11,WR,WR37,74
75,James Conner,ARI,11,RB,RB24,75
76,Najee Harris,PIT,9,RB,RB25,76
77,Evan Engram,JAX,12,TE,TE8,77
78,Chris Godwin,TB,11,WR,WR38,78
79,Joe Burrow,CIN,12,QB,QB8,79
80,DeAndre Hopkins,TEN,5,WR,WR39,80
81,Rome Odunze,CHI,7,WR,WR40,81
82,Tony Pollard,TEN,5,RB,RB26,82
83,Kyler Murray,ARI,11,QB,QB9,83
84,Jonathon Brooks,CAR,11,RB,RB27,84
85,Dak Prescott,DAL,7,QB,QB10,85
86,Xavier Worthy,KC,6,WR,WR41,86
87,Jordan Addison,MIN,6,WR,WR42,87
88,Jaylen Warren,PIT,9,RB,RB28,88
89,Javonte Williams,DEN,14,RB,RB29,89
90,Raheem Mostert,MIA,6,RB,RB30,90
91,Jake Ferguson,DAL,7,TE,TE9,91
92,Austin Ekeler,WAS,14,RB,RB31,92
93,Christian Watson,GB,10,WR,WR43,93
94,Brian Thomas,JAX,12,WR,WR44,94
95,David Njoku,CLE,10,TE,TE10,95
96,Nick Chubb,CLE,10,RB,RB32,96
97,Ladd McConkey,LAC,5,WR,WR45,97
98,Jaxon Smith-Njigba,SEA,10,WR,WR46,98
99,Devin Singletary,NYG,11,RB,RB33,99
100,Trey Benson,ARI,11,RB,RB34,100
101,Brock Bowers,LV,10,TE,TE11,101
102,Brian Robinson,WAS,14,RB,RB35,102
103,Brock Purdy,SF,9,QB,QB11,103
104,Jameson Williams,DET,5,WR,WR47,104
105,Caleb Williams,CHI,7,QB,QB12,105
106,Curtis Samuel,BUF,12,WR,WR48,106
107,Keon Coleman,BUF,12,WR,WR49,107
108,Tyjae Spears,TEN,5,RB,RB36,108
109,TJ Hockenson,MIN,6,TE,TE12,109
110,Courtland Sutton,DEN,14,WR,WR50,110
111,Dallas Goedert,PHI,5,TE,TE13,111
112,Chase Brown,CIN,12,RB,RB37,112
113,Jared Goff,DET,5,QB,QB13,113
114,Mike Williams,NYJ,12,WR,WR51,114
115,Blake Corum,LAR,6,RB,RB38,115
116,Jayden Daniels,WAS,14,QB,QB14,116
117,Tua Tagovailoa,MIA,6,QB,QB15,117
118,Justin Herbert,LAC,5,QB,QB16,118
119,Gus Edwards,LAC,5,RB,RB39,119
120,Jerome Ford,CLE,10,RB,RB40,120
121,Brandon Aubrey,DAL,7,K,K1,121
122,Tyler Lockett,SEA,10,WR,WR52,122
123,Romeo Doubs,GB,10,WR,WR53,123
124,Khalil Shakir,BUF,12,WR,WR54,124
125,Zach Charbonnet,SEA,10,RB,RB41,125
126,Trevor Lawrence,JAX,12,QB,QB17,126
127,Dalton Schultz,HOU,14,TE,TE14,127
128,Jakobi Meyers,LV,10,WR,WR55,128
129,Kirk Cousins,ATL,12,QB,QB18,129
130,Ezekiel Elliott,DAL,7,RB,RB42,130
131,Jaylen Wright,MIA,6,RB,RB43,131
132,Gabe Davis,JAX,12,WR,WR56,132
133,Adonai Mitchell,IND,14,WR,WR57,133
134,Joshua Palmer,LAC,5,WR,WR58,134
135,Jerry Jeudy,CLE,10,WR,WR59,135
136,Cole Kmet,CHI,7,TE,TE15,136
137,Pat Freiermuth,PIT,9,TE,TE16,137
138,Chuba Hubbard,CAR,11,RB,RB44,138
139,Ty Chandler,MIN,6,RB,RB45,139
140,JK Dobbins,LAC,5,RB,RB46,140
141,MarShawn Lloyd,GB,10,RB,RB47,141
142,Justin Tucker,BAL,14,K,K2,142
143,Rico Dowdle,DAL,7,RB,RB48,143
144,Dallas Cowboys,DAL,7,DST,DST1,144
145,Josh Downs,IND,14,WR,WR60,145
146,Antonio Gibson,NE,14,RB,RB49,146
147,Jahan Dotson,WAS,14,WR,WR61,147
148,Rashid Shaheed,NO,12,WR,WR62,148
149,Aaron Rodgers,NYJ,12,QB,QB19,149
150,Kendre Miller,NO,12,RB,RB50,150
151,Brandin Cooks,DAL,7,WR,WR63,151
152,Baltimore Ravens,BAL,14,DST,DST2,152
153,Michael Wilson,ARI,11,WR,WR64,153
154,Matthew Stafford,LAR,6,QB,QB20,154
155,Quentin Johnston,LAC,5,WR,WR65,155
156,Xavier Legette,CAR,11,WR,WR66,156
157,Dontayvion Wicks,GB,10,WR,WR67,157
158,Harrison Butker,KC,6,K,K3,158
159,Tyler Allgeier,ATL,12,RB,RB51,159
160,Luke Musgrave,GB,10,TE,TE17,160
161,Darnell Mooney,ATL,12,WR,WR68,161
162,Baker Mayfield,TB,11,QB,QB21,162
163,Marvin Mims,DEN,14,WR,WR69,163
164,Ricky Pearsall,SF,9,WR,WR70,164
165,Deshaun Watson,CLE,10,QB,QB22,165
166,Ray Davis,BUF,12,RB,RB52,166
167,New York Jets,NYJ,12,DST,DST3,167
168,Adam Thielen,CAR,11,WR,WR71,168
169,Jaleel McLaughlin,DEN,14,RB,RB53,169
170,Roschon Johnson,CHI,7,RB,RB54,170
171,Drake Maye,NE,14,QB,QB23,171
172,Kimani Vidal,LAC,5,RB,RB55,172
173,San Francisco 49ers,SF,9,DST,DST4,173
174,Buckyrving,TB,11,RB,RB56,174
175,Ka'imi Fairbairn,HOU,14,K,K4,175
176,Malachi Corley,NYJ,12,WR,WR72,176
177,Jake Elliott,PHI,5,K,K5,177
178,Troy Franklin,DEN,14,WR,WR73,178
179,Hunter Henry,NE,14,TE,TE18,179
180,Will Levis,TEN,5,QB,QB24,180
181,Jonnu Smith,MIA,6,TE,TE19,181
182,Buffalo Bills,BUF,12,DST,DST5,182
183,Cleveland Browns,CLE,10,DST,DST6,183
184,Jermaine Burton,CIN,12,WR,WR74,184
185,Khalil Herbert,CHI,7,RB,RB57,185
186,Rashod Bateman,BAL,14,WR,WR75,186
187,Roman Wilson,PIT,9,WR,WR76,187
188,Braelon Allen,NYJ,12,RB,RB58,188
189,JJ McCarthy,MIN,6,QB,QB25,189
190,Javon Baker,NE,14,WR,WR77,190
191,Justin Fields,PIT,9,QB,QB26,191
192,Keaton Mitchell,BAL,14,RB,RB59,192
193,Michael Mayer,LV,10,TE,TE20,193
194,Will Shipley,PHI,5,RB,RB60,194
195,Bryce Young,CAR,11,QB,QB27,195
196,Tyrone Tracy,NYG,11,RB,RB61,196
197,Ja'Lynn Polk,NE,14,WR,WR78,197
