,season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,age
0,2021,TB,QB,QB,12.0,ACT,Tom Brady,Tom,Brady,1977-08-03,76.0,225.0,Michigan,00-0019596,2330,41c44740-d0f6-44ab-8347-3b5d515e5ecf,5228,1350,698,BradTo00,4314,167,21,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",QB,20,DIV,A01,Tom,BRA371156,25511,32004252-4137-1156-7ed0-8b9e44948f13,2000,2000.0,NE,199.0,44.0
1,2021,NO,QB,QB,9.0,RET,Drew Brees,Drew,Brees,1979-01-15,72.0,209.0,Purdue,00-0020531,2580,bb5957e6-ce7d-47ab-8036-22191ffc1c44,5479,2178,802,BreeDr00,7242,289,20,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",,18,REG,R02,Drew,BRE229498,26250,32004252-4522-9498-de45-55dc89e02748,2001,2001.0,SD,32.0,42.0
2,2021,CHI,OL,T,71.0,ACT,Jason Peters,Jason,Peters,1982-01-22,76.0,328.0,Arkansas,00-0022531,6012,46aab8e6-3ca9-4213-a6cb-87db90786f6b,7122,3874,2148,,8920,412,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ma7bkdymewzelolhydoc",T,18,REG,A01,Jason,PET150539,29550,32005045-5415-0539-96c0-31361312950f,2004,2004.0,,,39.0
3,2021,ARI,P,P,14.0,ACT,Andy Lee,Andy,Lee,1982-08-11,73.0,185.0,Pittsburgh,00-0022824,5713,edaad8e3-62cd-4715-b225-0010ee9825a0,6947,4044,1906,LeexAn20,3100,112,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tlzghdps4wmxukbapq6o",,19,WC,A01,Andy,LEE008195,29141,32004c45-4500-8195-3f84-7c9db88c8928,2004,2004.0,SF,188.0,39.0
4,2021,PIT,QB,QB,7.0,ACT,Ben Roethlisberger,Ben,Roethlisberger,1982-03-02,77.0,240.0,"Miami, O.",00-0022924,5536,ea357add-1a41-4a8b-8f34-bbfade7f4d98,6770,3764,1732,RoetBe00,3807,138,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",QB,19,WC,A01,Ben,ROE750381,28963,3200524f-4575-0381-afea-aa103cf4a1e3,2004,2004.0,PIT,11.0,39.0
5,2021,SF,K,K,9.0,ACT,Robbie Gould,Robbie,Gould,1982-12-06,72.0,190.0,Penn State,00-0023252,9354,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7520,4686,2607,,1410,49,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dvi2xjlpi0i3btue4etc",,21,CON,A01,Robbie,GOU258729,30403,3200474f-5525-8729-db48-d9e3a46235a3,2005,2005.0,,,38.0
6,2021,GB,QB,QB,12.0,ACT,Aaron Rodgers,Aaron,Rodgers,1983-12-02,74.0,225.0,California,00-0023459,8439,0ce48193-e2fa-466e-a986-33f751add206,7200,4307,2241,RodgAa00,2593,96,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hh8azxeqpydxofvo0suc",QB,20,DIV,A01,Aaron,ROD339293,29851,3200524f-4433-9293-a3cf-ad7758d03003,2005,2005.0,GB,24.0,37.0
7,2021,LV,OL,G,64.0,RES,Richie Incognito,Richie,Incognito,1983-07-05,75.0,325.0,Nebraska,00-0023516,,,,,,,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dp4mjqbrnzbjgymabe0a",,19,WC,R01,Richie,INC474619,29908,3200494e-4347-4619-781a-310957730fe1,2005,2005.0,STL,81.0,38.0
8,2021,CLE,P,P,2.0,ACT,Dustin Colquitt,Dustin,Colquitt,1982-05-06,75.0,210.0,Tennessee,00-0023534,8513,cdf8908a-7092-4054-a49c-a9884211aaa1,7275,4442,2316,ColqDu20,8243,330,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v1aymd6o0vpg73ytxzhu",,18,REG,A01,Dustin,COL759300,29926,3200434f-4c75-9300-56a9-5740a2cedb3f,2005,2005.0,KC,99.0,39.0
9,2021,WAS,QB,QB,14.0,RES,Ryan Fitzpatrick,Ryan,Fitzpatrick,1982-11-24,74.0,228.0,Harvard,00-0023682,8664,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,7426,4385,2467,FitzRy00,8283,333,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pkhhxwplsawnhln9rsun",,18,REG,R01,Ryan,FIT792915,30078,32004649-5479-2915-c998-f50119c2fdd4,2005,2005.0,STL,250.0,38.0
10,2021,ARI,K,K,5.0,ACT,Matt Prater,Matt,Prater,1984-08-10,70.0,201.0,Central Florida,00-0023853,11122,67f5e782-f91c-4536-9818-cf4a0e7e821d,8565,5051,3471,,549,17,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgkvdhqq950yzf14xnnb",,19,WC,A01,Matt,PRA143616,31446,32005052-4114-3616-ccef-0127103fb075,2006,2006.0,,,37.0
11,2021,LV,OL,T,72.0,RET,Donald Penn,Donald,Penn,1983-04-27,76.0,315.0,Utah State,00-0023894,10062,50bcb5d3-62fb-45ac-b25b-5dffbff0cb0c,8119,5150,3459,,5274,207,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbarhx9omymxl236etax",,19,WC,R02,Donald,PEN244635,31228,32005045-4e24-4635-4099-3bed2139bf9c,2006,2006.0,,,38.0
12,2021,GB,TE,TE,89.0,ACT,Marcedes Lewis,Marcedes,Lewis,1984-05-19,78.0,267.0,UCLA,00-0024243,9614,9c21e9af-681c-41ef-9b00-fbc9e1668ed1,7777,4891,2973,LewiMa00,3061,111,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/waiqrdmxxu0as9vmp93h",TE,20,DIV,A01,Marcedes,LEW492053,30842,32004c45-5749-2053-af92-a96945af706a,2006,2006.0,JAX,28.0,37.0
13,2021,LA,OL,T,77.0,ACT,Andrew Whitworth,Andrew,Whitworth,1981-12-12,79.0,330.0,Louisiana State,00-0024270,,,,,,,,,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jcpd1mheqjofcqoy8bd5",T,22,SB,A01,Andrew,WHI825900,30869,32005748-4982-5900-e93f-eb602e0a7d0b,2006,2006.0,CIN,55.0,39.0
14,2021,BAL,P,P,4.0,ACT,Sam Koch,Sam,Koch,1982-08-13,73.0,222.0,Nebraska,00-0024417,9789,544e4159-3da3-47ad-866c-bf48d7634f25,7952,7073,3148,KochSa20,430,13,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dw34lcf6qit1i1knjhpv",,18,REG,A01,Sam,KOC420430,31018,32004b4f-4342-0430-38c8-f7582cd5f048,2006,2006.0,BAL,203.0,39.0
15,2021,SEA,RB,RB,21.0,DEV,Adrian Peterson,Adrian,Peterson,1985-03-21,73.0,220.0,Oklahoma,00-0025394,10452,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,8261,5215,3623,PeteAd01,4807,184,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",,18,REG,P02,Adrian,PET260705,32200,32005045-5426-0705-afaf-b095105b31fb,2007,2007.0,MIN,7.0,36.0
16,2021,LA,DB,FS,20.0,ACT,Eric Weddle,Eric,Weddle,1985-01-04,71.0,195.0,Utah,00-0025424,10481,26138e8b-b776-492a-9684-b1c07e51b25c,8291,5370,3653,WeddEr99,7243,290,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lkawujcrkiyelnzqnups",SAFETY,22,SB,P07,Eric,WED290361,32230,32005745-4429-0361-2ae4-59ca6faa52bc,2007,2007.0,SD,37.0,36.0
17,2021,NE,K,K,6.0,ACT,Nick Folk,Nick,Folk,1984-11-05,73.0,222.0,Arizona,00-0025565,10621,b37c621e-1125-4c35-bea0-fcabb1527060,8432,5365,,FolkNi20,11694,650,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/un54axlocxr0tu26lfcy",,19,WC,A01,Nick,FOL378021,32371,3200464f-4c37-8021-409f-36e78a589e4b,2007,2007.0,DAL,178.0,36.0
18,2021,GB,K,K,2.0,ACT,Mason Crosby,Mason,Crosby,1984-09-03,73.0,207.0,Colorado,00-0025580,10636,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,8447,5363,3809,CrosMa20,1694,59,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uescmbrai0qt442qamzb",,20,DIV,A01,Mason,CRO369933,32386,32004352-4f36-9933-a863-d4bf2cc5772e,2007,2007.0,GB,193.0,36.0
19,2021,CIN,LS,LS,46.0,ACT,Clark Harris,Clark,Harris,1984-07-10,77.0,250.0,Rutgers,00-0025630,10686,d7eec5c7-c401-485e-b0c8-fb0784c07b27,8497,5308,3859,HarrCl20,12330,738,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wieuqziklihqgtfcpxyh",,22,SB,A01,Clark,HAR351770,32436,32004841-5235-1770-ad8b-c366544f217d,2007,2007.0,GB,243.0,37.0
