Rank,Name,Team,Position,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Brandon Aubrey,DAL,K,12,WAS,1.9,2.1,100,0,3.3,3.3,9.5,9.46
1,Brandon Aubrey,DAL,K,18,WAS,1.9,2,100,0,3.3,3.3,9.5,9.46
3,Harrison Butker,KC,K,12,LV,1.9,2,100,0,3.2,3.2,9.4,9.36
3,Harrison Butker,KC,K,8,DEN,1.9,2,100,0,3.2,3.2,9.4,9.36
5,Brandon Aubrey,DAL,K,17,DET,1.8,1.9,100,0,3.5,3.5,9.3,9.34
6,Harrison Butker,KC,K,7,LAC,1.9,2,100,0,3.1,3.1,9.3,9.26
7,Harrison Butker,KC,K,3,CHI,1.8,2.1,100,0,3.3,3.3,9.1,9.14
7,Tyler Bass,BUF,K,6,NYG,1.8,2,100,0,3.3,3.3,9.1,9.14
7,Jake Elliott,PHI,K,17,ARI,1.8,1.9,100,0,3.3,3.3,9.1,9.14
10,Jake Moody,SF,K,17,WAS,1.7,1.9,100,0,3.6,3.6,9.1,9.12
11,Justin Tucker,BAL,K,1,HOU,1.9,2.1,100,0,2.9,2.9,9.1,9.06
11,Justin Tucker,BAL,K,3,IND,1.9,2.1,100,0,2.9,2.9,9.1,9.06
11,Jake Elliott,PHI,K,5,LAR,1.9,2,100,0,2.9,2.9,9.1,9.06
14,Riley Patterson,DET,K,11,CHI,1.8,2,100,0,3.2,3.2,9,9.04
14,Brandon Aubrey,DAL,K,11,CAR,1.8,2,100,0,3.2,3.2,9,9.04
14,Jason Sanders,MIA,K,5,NYG,1.8,2,100,0,3.2,3.2,9,9.04
17,Jason Myers,SEA,K,1,LAR,2,2.2,100,0,2.5,2.5,9,8.98
18,Justin Tucker,BAL,K,8,ARI,1.9,2.1,100,0,2.8,2.8,9,8.96
19,Jake Elliott,PHI,K,8,WAS,1.8,2,100,0,3.1,3.1,8.9,8.94
19,Cameron Dicker,LAC,K,8,CHI,1.8,1.9,100,0,3.1,3.1,8.9,8.94
21,Harrison Butker,KC,K,6,DEN,1.7,1.9,100,0,3.4,3.4,8.9,8.92
21,Jason Sanders,MIA,K,6,CAR,1.7,1.9,100,0,3.4,3.4,8.9,8.92
21,Jason Sanders,MIA,K,14,TEN,1.7,1.9,100,0,3.4,3.4,8.9,8.92
24,Jake Elliott,PHI,K,4,WAS,1.9,2.1,100,0,2.7,2.7,8.9,8.86
24,Brandon Aubrey,DAL,K,10,NYG,1.9,2.1,100,0,2.7,2.7,8.9,8.86
24,Jake Elliott,PHI,K,6,NYJ,1.9,2.1,100,0,2.7,2.7,8.9,8.86
27,Harrison Butker,KC,K,9,MIA,1.8,1.9,100,0,3,3,8.8,8.84
27,Jake Elliott,PHI,K,16,NYG,1.8,1.9,100,0,3,3,8.8,8.84
29,Harrison Butker,KC,K,1,DET,1.7,1.9,100,0,3.3,3.3,8.8,8.82
30,Dustin Hopkins,CLE,K,9,ARI,2,2.2,100,0,2.3,2.3,8.8,8.78
31,Jake Elliott,PHI,K,2,MIN,1.8,1.9,100,0,2.9,2.9,8.7,8.74
31,Jake Elliott,PHI,K,7,MIA,1.8,2,100,0,2.9,2.9,8.7,8.74
31,Harrison Butker,KC,K,14,BUF,1.8,1.9,100,0,2.9,2.9,8.7,8.74
34,Riley Patterson,DET,K,12,GB,1.7,2,100,0,3.2,3.2,8.7,8.72
34,Tyler Bass,BUF,K,16,LAC,1.7,1.9,100,0,3.2,3.2,8.7,8.72
34,Harrison Butker,KC,K,5,MIN,1.7,1.9,100,0,3.2,3.2,8.7,8.72
37,Jake Moody,SF,K,15,ARI,1.6,1.8,100,0,3.5,3.5,8.7,8.68
38,Brandon Aubrey,DAL,K,8,LAR,1.9,2.1,100,0,2.5,2.5,8.7,8.66
39,Harrison Butker,KC,K,4,NYJ,1.8,2,100,0,2.8,2.8,8.6,8.64
39,Brett Maher,LAR,K,6,ARI,1.8,2,100,0,2.8,2.8,8.6,8.64
39,Harrison Butker,KC,K,15,NE,1.8,1.9,100,0,2.8,2.8,8.6,8.64
42,Jason Sanders,MIA,K,8,NE,1.7,2,100,0,3.1,3.1,8.6,8.62
42,Tyler Bass,BUF,K,5,JAX,1.7,1.9,100,0,3.1,3.1,8.6,8.62
42,Brandon Aubrey,DAL,K,14,PHI,1.7,1.8,100,0,3.1,3.1,8.6,8.62
45,Jason Sanders,MIA,K,11,LV,1.6,1.9,100,0,3.4,3.4,8.6,8.58
45,Jake Moody,SF,K,14,SEA,1.6,1.8,100,0,3.4,3.4,8.6,8.58
47,Brandon McManus,JAX,K,11,TEN,1.9,2.1,100,0,2.4,2.4,8.6,8.56
48,Brandon McManus,JAX,K,3,HOU,1.8,2,100,0,2.7,2.7,8.5,8.54
48,Jason Myers,SEA,K,7,ARI,1.8,2.1,100,0,2.7,2.7,8.5,8.54
48,Brandon Aubrey,DAL,K,6,LAC,1.8,2,100,0,2.7,2.7,8.5,8.54
48,Harrison Butker,KC,K,13,GB,1.8,1.9,100,0,2.7,2.7,8.5,8.54
52,Harrison Butker,KC,K,16,LV,1.7,1.9,100,0,3,3,8.5,8.52
52,Riley Patterson,DET,K,5,CAR,1.7,1.8,100,0,3,3,8.5,8.52
52,Brandon Aubrey,DAL,K,13,SEA,1.7,1.8,100,0,3,3,8.5,8.52
52,Harrison Butker,KC,K,17,CIN,1.7,1.9,100,0,3,3,8.5,8.52
52,Brandon Aubrey,DAL,K,15,BUF,1.7,1.9,100,0,3,3,8.5,8.52
57,Riley Patterson,DET,K,8,LV,1.6,1.8,100,0,3.3,3.3,8.5,8.48
58,Younghoe Koo,ATL,K,6,WAS,1.9,2,100,0,2.3,2.3,8.5,8.46
59,Jake Elliott,PHI,K,9,DAL,1.8,2,100,0,2.6,2.6,8.4,8.44
59,Evan McPherson,CIN,K,9,BUF,1.8,2.1,100,0,2.6,2.6,8.4,8.44
59,Cameron Dicker,LAC,K,12,BAL,1.8,1.9,100,0,2.6,2.6,8.4,8.44
59,Jason Myers,SEA,K,10,WAS,1.8,2.1,100,0,2.6,2.6,8.4,8.44
59,Justin Tucker,BAL,K,17,MIA,1.8,2,100,0,2.6,2.6,8.4,8.44
64,Justin Tucker,BAL,K,12,LAC,1.7,2,100,0,2.9,2.9,8.4,8.42
64,Jake Elliott,PHI,K,12,BUF,1.7,1.8,100,0,2.9,2.9,8.4,8.42
64,Harrison Butker,KC,K,11,PHI,1.7,1.8,100,0,2.9,2.9,8.4,8.42
64,Jake Moody,SF,K,4,ARI,1.7,1.9,100,0,2.9,2.9,8.4,8.42
64,Tyler Bass,BUF,K,17,NE,1.7,2,100,0,2.9,2.9,8.4,8.42
64,Jake Elliott,PHI,K,15,SEA,1.7,1.9,100,0,2.9,2.9,8.4,8.42
70,Tyler Bass,BUF,K,4,MIA,1.6,1.8,100,0,3.2,3.2,8.4,8.38
70,Tyler Bass,BUF,K,2,LV,1.6,1.8,100,0,3.2,3.2,8.4,8.38
70,Tyler Bass,BUF,K,10,DEN,1.6,1.8,100,0,3.2,3.2,8.4,8.38
70,Jason Sanders,MIA,K,13,WAS,1.6,1.8,100,0,3.2,3.2,8.4,8.38
74,Ka'imi Fairbairn,HOU,K,9,TB,1.9,2,100,0,2.2,2.2,8.4,8.36
74,Younghoe Koo,ATL,K,10,ARI,1.9,2,100,0,2.2,2.2,8.4,8.36
74,Nick Folk,TEN,K,15,HOU,1.9,2.1,100,0,2.2,2.2,8.4,8.36
77,Blake Grupe,NO,K,9,CHI,1.8,2.1,100,0,2.5,2.5,8.3,8.34
77,Brandon Aubrey,DAL,K,9,PHI,1.8,1.9,100,0,2.5,2.5,8.3,8.34
77,Jason Myers,SEA,K,3,CAR,1.8,2,100,0,2.5,2.5,8.3,8.34
77,Brandon McManus,JAX,K,13,CIN,1.8,2,100,0,2.5,2.5,8.3,8.34
77,Ka'imi Fairbairn,HOU,K,17,TEN,1.8,1.9,100,0,2.5,2.5,8.3,8.34
77,Evan McPherson,CIN,K,15,MIN,1.8,2.1,100,0,2.5,2.5,8.3,8.34
83,Justin Tucker,BAL,K,11,CIN,1.7,2,100,0,2.8,2.8,8.3,8.32
83,Cameron Dicker,LAC,K,11,GB,1.7,1.8,100,0,2.8,2.8,8.3,8.32
83,Cameron Dicker,LAC,K,4,LV,1.7,1.9,100,0,2.8,2.8,8.3,8.32
83,Harrison Butker,KC,K,2,JAX,1.7,1.9,100,0,2.8,2.8,8.3,8.32
83,Riley Patterson,DET,K,3,ATL,1.7,1.9,100,0,2.8,2.8,8.3,8.32
