Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Patrick Mahomes,KC,QB,3,CHI,308.5,2.4,0.7,24.9,0.2,0,0,0,0,0,0,0,23.8,23.83
2,Tyreek Hill,MIA,WR,13,WAS,0,0,0,3.4,0,7.7,110.3,0.8,0,0,0,0,23.7,23.67
3,Christian McCaffrey,SF,RB,17,WAS,0,0,0,91.5,0.8,4.3,36.1,0.3,0,0,0,0,23.5,23.46
4,Jalen Hurts,PHI,QB,17,ARI,241.3,1.6,0.7,41.5,0.9,0,0,0,0,0,0,0,23.2,23.2
4,Tyreek Hill,MIA,WR,14,TEN,0,0,0,3.3,0,7.3,107.7,0.8,0,0,0,0,23.2,23.2
6,Christian McCaffrey,SF,RB,15,ARI,0,0,0,89.7,0.8,4.3,35,0.3,0,0,0,0,23.2,23.17
7,Josh Allen,BUF,QB,6,NYG,265.7,2.2,0.8,32.7,0.4,0,0,0,0,0,0,0,23.1,23.1
8,Jalen Hurts,PHI,QB,2,MIN,247.5,1.6,0.6,49,0.6,0,0,0,0,0,0,0,23,23
9,Patrick Mahomes,KC,QB,6,DEN,290.3,2.3,0.6,23.1,0.2,0,0,0,0,0,0,0,22.9,22.92
10,Jalen Hurts,PHI,QB,7,MIA,247.5,1.6,0.8,43.8,0.7,0,0,0,0,0,0,0,22.9,22.88
11,Patrick Mahomes,KC,QB,5,MIN,295,2.2,0.7,26.4,0.2,0,0,0,0,0,0,0,22.8,22.84
12,CeeDee Lamb,DAL,WR,18,WAS,0,0,0,6,0.1,7.4,100.2,0.7,0,0,0,0,22.8,22.82
13,Josh Allen,BUF,QB,2,LV,267.4,2,0.9,39.8,0.4,0,0,0,0,0,0,0,22.7,22.68
14,Christian McCaffrey,SF,RB,4,ARI,0,0,0,92.5,0.8,4.3,29.6,0.2,0,0,0,0,22.5,22.51
15,Patrick Mahomes,KC,QB,8,DEN,295.3,2.2,0.7,24.7,0.2,0,0,0,0,0,0,0,22.5,22.48
16,Christian McCaffrey,SF,RB,14,SEA,0,0,0,88.1,0.8,4.4,28.6,0.3,0,0,0,0,22.5,22.47
17,Patrick Mahomes,KC,QB,1,DET,299.3,2.2,0.7,20.9,0.2,0,0,0,0,0,0,0,22.5,22.46
18,Patrick Mahomes,KC,QB,2,JAX,296,2.2,0.7,21.7,0.2,0,0,0,0,0,0,0,22.4,22.41
19,Patrick Mahomes,KC,QB,7,LAC,289,2.2,0.7,24.1,0.2,0,0,0,0,0,0,0,22.4,22.37
19,CeeDee Lamb,DAL,WR,17,DET,0,0,0,5.5,0.1,7.3,97.2,0.7,0,0,0,0,22.4,22.37
21,Jalen Hurts,PHI,QB,8,WAS,246,1.5,0.7,43.1,0.7,0,0,0,0,0,0,0,22.4,22.35
22,Josh Allen,BUF,QB,16,LAC,254.5,1.9,0.8,33.4,0.6,0,0,0,0,0,0,0,22.3,22.32
23,Jalen Hurts,PHI,QB,1,NE,236,1.5,0.6,48.4,0.6,0,0,0,0,0,0,0,22.3,22.28
24,CeeDee Lamb,DAL,WR,14,PHI,0,0,0,4.1,0,7.7,99.4,0.7,0,0,0,0,22.2,22.25
25,Jalen Hurts,PHI,QB,16,NYG,233.6,1.5,0.7,44.5,0.8,0,0,0,0,0,0,0,22.2,22.19
26,Josh Allen,BUF,QB,5,JAX,266.6,2,0.9,33.1,0.4,0,0,0,0,0,0,0,22.2,22.17
27,Patrick Mahomes,KC,QB,9,MIA,285.1,2.2,0.8,23.9,0.2,0,0,0,0,0,0,0,22,21.99
28,Josh Allen,BUF,QB,10,DEN,270.2,2,0.9,31.3,0.4,0,0,0,0,0,0,0,21.9,21.94
29,Christian McCaffrey,SF,RB,5,DAL,0,0,0,94.2,0.7,4.3,29,0.2,0,0,0,0,21.8,21.82
30,Jalen Hurts,PHI,QB,3,TB,232.7,1.5,0.6,45,0.6,0,0,0,0,0,0,0,21.8,21.81
31,Tyreek Hill,MIA,WR,3,DEN,0,0,0,4.5,0,7.8,100.3,0.6,0,0,0,0,21.7,21.68
32,Tyreek Hill,MIA,WR,7,PHI,0,0,0,3.2,0,6.9,104.4,0.7,0,0,0,0,21.7,21.66
33,Jalen Hurts,PHI,QB,12,BUF,231.1,1.5,0.7,42,0.7,0,0,0,0,0,0,0,21.6,21.64
34,Tyreek Hill,MIA,WR,8,NE,0,0,0,2.7,0,7.1,100.4,0.7,0,0,0,0,21.6,21.61
35,Josh Allen,BUF,QB,15,DAL,253.3,1.8,0.9,36.7,0.5,0,0,0,0,0,0,0,21.6,21.6
36,Lamar Jackson,BAL,QB,8,ARI,232.6,1.6,0.7,54.9,0.4,0,0,0,0,0,0,0,21.6,21.59
37,Tyreek Hill,MIA,WR,6,CAR,0,0,0,3.6,0,6.9,101.1,0.7,0,0,0,0,21.6,21.57
